wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;k³odzki;gm.m-w. L¹dek-Zdrój;8120;3094;2125;26,2;:;0;41;493;924;776;860;dolnoœl¹skie;k³odzki;gm.m-w. L¹dek-Zdrój;2;8;8;3;L¹dek-Zdrój;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. L¹dek-Zdrój;020808
dolnoœl¹skie;k³odzki;gm.w. Lewin K³odzki;1921;691;403;21;:;0;20;106;244;155;166;dolnoœl¹skie;k³odzki;gm.w. Lewin K³odzki;2;8;9;2;Lewin K³odzki;gmina wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.w. Lewin K³odzki;020809
dolnoœl¹skie;k³odzki;gm.m-w. Miêdzylesie;7119;2214;1384;19,4;:;0;39;361;639;626;549;dolnoœl¹skie;k³odzki;gm.m-w. Miêdzylesie;2;8;10;3;Miêdzylesie;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. Miêdzylesie;020810
dolnoœl¹skie;k³odzki;gm.w. Nowa Ruda;11440;4024;2189;19,1;:;0;86;753;1304;1019;862;dolnoœl¹skie;k³odzki;gm.w. Nowa Ruda;2;8;11;2;Nowa Ruda;gmina wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.w. Nowa Ruda;020811
dolnoœl¹skie;k³odzki;gm.m-w. Radków;8968;2878;1763;19,7;:;0;47;509;857;782;683;dolnoœl¹skie;k³odzki;gm.m-w. Radków;2;8;12;3;Radków;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. Radków;020812
dolnoœl¹skie;k³odzki;gm.m-w. Stronie Œl¹skie;7451;2740;1752;23,5;:;0;37;388;787;763;765;dolnoœl¹skie;k³odzki;gm.m-w. Stronie Œl¹skie;2;8;13;3;Stronie Œl¹skie;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. Stronie Œl¹skie;020813
dolnoœl¹skie;k³odzki;gm.m-w. Szczytna;7185;2376;1353;18,8;:;0;36;367;701;733;539;dolnoœl¹skie;k³odzki;gm.m-w. Szczytna;2;8;14;3;Szczytna;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;k³odzki;gm.m-w. Szczytna;020814
dolnoœl¹skie;legnicki;m. Chojnów;13236;5439;3277;24,8;:;0;120;915;1659;1489;1256;dolnoœl¹skie;legnicki;m. Chojnów;2;9;1;1;Chojnów;gmina miejska;43831;DOLNOŒL¥SKIE;legnicki;m. Chojnów;020901
dolnoœl¹skie;legnicki;gm.w. Chojnów;9517;3156;1858;19,5;:;0;65;564;1094;781;652;dolnoœl¹skie;legnicki;gm.w. Chojnów;2;9;2;2;Chojnów;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Chojnów;020902
dolnoœl¹skie;legnicki;gm.w. Krotoszyce;3301;1213;717;21,7;:;0;38;241;456;269;209;dolnoœl¹skie;legnicki;gm.w. Krotoszyce;2;9;3;2;Krotoszyce;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Krotoszyce;020903
dolnoœl¹skie;legnicki;gm.w. Kunice;7161;3019;1851;25,8;:;0;124;581;1194;668;452;dolnoœl¹skie;legnicki;gm.w. Kunice;2;9;4;2;Kunice;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Kunice;020904
dolnoœl¹skie;legnicki;gm.w. Legnickie Pole;5170;2324;1589;30,7;:;0;51;433;861;524;455;dolnoœl¹skie;legnicki;gm.w. Legnickie Pole;2;9;5;2;Legnickie Pole;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Legnickie Pole;020905
dolnoœl¹skie;legnicki;gm.w. Mi³kowice;6822;2625;1639;24;:;0;87;504;924;619;491;dolnoœl¹skie;legnicki;gm.w. Mi³kowice;2;9;6;2;Mi³kowice;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Mi³kowice;020906
dolnoœl¹skie;legnicki;gm.m-w. Prochowice;7345;2741;1727;23,5;:;0;73;472;874;737;585;dolnoœl¹skie;legnicki;gm.m-w. Prochowice;2;9;7;3;Prochowice;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.m-w. Prochowice;020907
dolnoœl¹skie;legnicki;gm.w. Ruja;2558;954;612;23,9;:;0;34;164;312;235;209;dolnoœl¹skie;legnicki;gm.w. Ruja;2;9;8;2;Ruja;gmina wiejska;43831;DOLNOŒL¥SKIE;legnicki;gm.w. Ruja;020908
dolnoœl¹skie;lubañski;m. Lubañ;20723;8464;5358;25,9;:;0;146;1396;2563;2022;2337;dolnoœl¹skie;lubañski;m. Lubañ;2;10;1;1;Lubañ;gmina miejska;43831;DOLNOŒL¥SKIE;lubañski;m. Lubañ;021001
dolnoœl¹skie;lubañski;m. Œwieradów-Zdrój;3995;1538;994;24,9;:;0;30;237;449;398;424;dolnoœl¹skie;lubañski;m. Œwieradów-Zdrój;2;10;2;1;Œwieradów-Zdrój;gmina miejska;43831;DOLNOŒL¥SKIE;lubañski;m. Œwieradów-Zdrój;021002
